nutrition id,crop group,food item name,sgp group
1,allium,garlic,04 vegetable
2,allium,leek,04 vegetable
3,allium,onion,04 vegetable
4,allium,shallot,04 vegetable
5,cereal,barley,02 cereal wholegrain
6,cereal,corn,02 cereal wholegrain
7,cereal,millet,02 cereal wholegrain
8,cereal,oat bran,02 cereal wholegrain
9,cereal,rice,01 cereal refined
10,cereal,wheat germ,01 cereal refined
11,cereal,rice - wild,02 cereal wholegrain
12,cereal,sorghum grain,02 cereal wholegrain
13,cereal,triticale,02 cereal wholegrain
14,dairy,cheese,05 animal
15,dairy,egg,05 animal
16,dairy,kefir,05 animal
17,dairy,milk - human,05 animal
18,dairy,milk - cow whole 3.25% milkfat,05 animal
19,dairy,yogurt,05 animal
20,dairy,butter,05 animal
21,dairy,cream,05 animal
22,fish,fish,05 animal
23,fruit bush,blackberry,03 fruit
24,fruit bush,blueberry,03 fruit
25,fruit bush,cranberry,03 fruit
26,fruit bush,currants,03 fruit
27,fruit bush,elderberry,03 fruit
28,fruit bush,gooseberry,03 fruit
29,fruit bush,mullberry,03 fruit
30,fruit bush,pineapple,03 fruit
31,fruit bush,raspberry,03 fruit
32,fruit bush,strawberry,03 fruit
33,fruit bush,watermelon,03 fruit
34,fruit tree,acerola,03 fruit
35,fruit tree,apples,03 fruit
36,fruit tree,apricots,03 fruit
37,fruit tree,avocados,03 fruit
38,fruit tree,bananas,03 fruit
39,fruit tree,breadfruit,03 fruit
40,fruit tree,carambola,03 fruit
41,fruit tree,cherimoya,03 fruit
42,fruit tree,cherries,03 fruit
43,fruit tree,crabapples,03 fruit
44,fruit tree,date,03 fruit
45,fruit tree,drumstick pods,03 fruit
46,fruit tree,feijoa,03 fruit
47,fruit tree,figs,03 fruit
48,fruit tree,grapefruit,03 fruit
49,fruit tree,guavas,03 fruit
50,fruit tree,jackfruit,03 fruit
51,fruit tree,kiwifruit,03 fruit
52,fruit tree,kumquats,03 fruit
53,fruit tree,lemons,03 fruit
54,fruit tree,limes,03 fruit
55,fruit tree,litchis,03 fruit
56,fruit tree,loquats,03 fruit
57,fruit tree,mammy-apple,03 fruit
58,fruit tree,mangos,03 fruit
59,fruit tree,melons,03 fruit
60,fruit tree,nectarines,03 fruit
61,fruit tree,oranges,03 fruit
62,fruit tree,papayas,03 fruit
63,fruit tree,passion-fruit,03 fruit
64,fruit tree,peaches,03 fruit
65,fruit tree,pears,03 fruit
66,fruit tree,persimmons,03 fruit
67,fruit tree,plantains,03 fruit
68,fruit tree,plums,03 fruit
