year,country,FAO item,amount kg_pa
1965,China,2511,32.79
1965,China,2805,64.19
1965,China,2514,2.74
1965,China,2517,7.64
1965,China,2518,8.59
1965,China,2520,1.71
1965,China,2513,5.35
1965,China,2516,0.68
1965,China,2515,1.43
1965,China,2531,11.84
1965,China,2533,91.61
1965,China,2532,1.16
1965,China,2534,1.04
1965,China,2535,0
1965,China,2549,4.18
1965,China,2555,4.25
1965,China,2546,2.67
1965,China,2547,3.42
1965,China,2551,0.27
1965,China,2556,0.79
1965,China,2560,0.07
1965,China,2563,0
1965,China,2558,0
1965,China,2561,0.07
1965,China,2557,0
1965,China,2570,0
1965,China,2562,0
1965,China,2571,0.43
1965,China,2574,0.41
1965,China,2580,0
1965,China,2573,0.02
1965,China,2577,0.05
1965,China,2582,0
1965,China,2572,0.34
1965,China,2578,0.02
1965,China,2575,0.27
1965,China,2586,0.06
1965,China,2581,0.02
1965,China,2576,0
1965,China,2579,0.12
1965,China,2605,48.95
1965,China,2601,5.16
1965,China,2602,4.2
1965,China,2625,3.12
1965,China,2611,0.44
1965,China,2617,0.3
1965,China,2615,0.3
1965,China,2620,0.15
1965,China,2618,0.22
1965,China,2612,0.01
1965,China,2613,0.01
1965,China,2614,0.04
1965,China,2616,0
1965,China,2619,0.05
1965,China,2761,1.16
1965,China,2763,0.27
1965,China,2762,1
1965,China,2767,0.42
1965,China,2765,0.44
1965,China,2766,0.08
1965,China,2775,0.55
1965,China,2764,1.54
1965,China,2769,0
1965,China,2781,0
1965,China,2782,0
1965,China,2733,7.45
1965,China,2734,1.12
1965,China,2731,0.25
1965,China,2735,0.13
1965,China,2732,0.22
1965,China,2736,0.51
1965,China,2737,0.58
1965,China,2848,2.42
1965,China,2740,0.02
1965,China,2743,0
1965,China,2744,2.03
1965,China,2542,2.51
1965,China,2543,0.03
1965,China,2536,0.33
1965,China,2745,0.07
1965,China,2541,0.29
1965,China,2640,0
1965,China,2641,0.09
1965,China,2642,0
1965,China,2645,0.05
1965,China,2630,0
1965,China,2633,0.02
1965,China,2635,0.1
1965,China,2656,0.21
1965,China,2655,0
1965,China,2657,0.04
1965,China,2658,1.42
1965,India,2511,33.12
1965,India,2805,61.96
1965,India,2514,8.29
1965,India,2517,11.89
1965,India,2518,13.61
1965,India,2520,0
1965,India,2513,4.03
1965,India,2516,0
1965,India,2515,0
1965,India,2531,4.79
1965,India,2533,2.09
1965,India,2532,5.79
1965,India,2534,0
1965,India,2535,0
1965,India,2549,15.38
1965,India,2555,0.03
1965,India,2546,2.68
1965,India,2547,1.58
1965,India,2551,0.44
1965,India,2556,0.46
1965,India,2560,4.32
1965,India,2563,0
1965,India,2558,0
1965,India,2561,0.16
1965,India,2557,0
1965,India,2570,0.02
1965,India,2562,0
1965,India,2571,0.08
1965,India,2574,0.73
1965,India,2580,0
1965,India,2573,0
1965,India,2577,0
1965,India,2582,0
1965,India,2572,2.25
1965,India,2578,0.37
1965,India,2575,0.19
1965,India,2586,0.26
1965,India,2581,0.03
1965,India,2576,0
1965,India,2579,0.26
1965,India,2605,36.39
1965,India,2601,0.95
1965,India,2602,2.32
1965,India,2625,17.51
1965,India,2611,1.4
1965,India,2617,0.16
1965,India,2615,5.24
1965,India,2620,0.27
1965,India,2618,0.56
1965,India,2612,0.78
1965,India,2613,0.04
1965,India,2614,0.05
1965,India,2616,0
1965,India,2619,0.12
1965,India,2761,1.05
1965,India,2763,0.79
1965,India,2762,0.49
1965,India,2767,0
1965,India,2765,0.12
1965,India,2766,0
1965,India,2775,0
1965,India,2764,0.04
1965,India,2769,0
1965,India,2781,0
1965,India,2782,0
1965,India,2733,0.3
1965,India,2734,0.17
1965,India,2731,2.29
1965,India,2735,0.11
1965,India,2732,0.78
1965,India,2736,0.52
1965,India,2737,0.05
1965,India,2848,32.57
1965,India,2740,0.9
1965,India,2743,0
1965,India,2744,0.36
1965,India,2542,5.37
1965,India,2543,0.21
1965,India,2536,9.92
1965,India,2745,0.05
1965,India,2541,13.75
1965,India,2640,0
1965,India,2641,0.68
1965,India,2642,0
1965,India,2645,0.47
1965,India,2630,0.07
1965,India,2633,0
1965,India,2635,0.32
1965,India,2656,0.04
1965,India,2655,0
1965,India,2657,0
1965,India,2658,0.31
1965,Thailand,2511,0.7
1965,Thailand,2805,149.1
1965,Thailand,2514,0
1965,Thailand,2517,0
1965,Thailand,2518,0
1965,Thailand,2520,0
1965,Thailand,2513,0
1965,Thailand,2516,0
1965,Thailand,2515,0
1965,Thailand,2531,0.2
1965,Thailand,2533,0
1965,Thailand,2532,0
1965,Thailand,2534,3.5
1965,Thailand,2535,0
1965,Thailand,2549,0.3
1965,Thailand,2555,0.3
1965,Thailand,2546,1.6
1965,Thailand,2547,0
1965,Thailand,2551,0
1965,Thailand,2556,1.2
1965,Thailand,2560,20.8
1965,Thailand,2563,0
1965,Thailand,2558,0
1965,Thailand,2561,0.1
1965,Thailand,2557,0
1965,Thailand,2570,0
1965,Thailand,2562,0
1965,Thailand,2571,0
1965,Thailand,2574,0
1965,Thailand,2580,0
1965,Thailand,2573,0
1965,Thailand,2577,0
1965,Thailand,2582,0
1965,Thailand,2572,0.4
1965,Thailand,2578,0.5
1965,Thailand,2575,0
1965,Thailand,2586,0
1965,Thailand,2581,0
1965,Thailand,2576,0
1965,Thailand,2579,0.1
1965,Thailand,2605,41.5
1965,Thailand,2601,0.4
1965,Thailand,2602,1.1
1965,Thailand,2625,18.9
1965,Thailand,2611,11.5
1965,Thailand,2617,0
1965,Thailand,2615,32.9
1965,Thailand,2620,0
1965,Thailand,2618,8.5
1965,Thailand,2612,0.7
1965,Thailand,2613,0.3
1965,Thailand,2614,0
1965,Thailand,2616,0
