group,,Ca,K,Vit B12,carbs,fats,fiber,id,kcal,mono unsaturated,nutrition id,polyunsaturated,protein,sat fats,water,yield
Alcoholic Beverages,count,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0
Alcoholic Beverages,mean,5.0,54.5,0.01,1.6075,0.0,0.0,2656.5,104.25,0.0,235.5,0.0,0.35750000000000004,0.0,84.01249999999999,
Alcoholic Beverages,std,3.8297084310253524,54.23713365090993,0.011547005383792516,1.7465465925648818,0.0,0.0,1.2909944487358056,86.2684762818957,0.0,1.2909944487358056,0.0,0.41443736961491945,0.0,11.850753492218685,
Alcoholic Beverages,min,0.0,2.0,0.0,0.0,0.0,0.0,2655.0,43.0,0.0,234.0,0.0,0.0,0.0,66.6,
Alcoholic Beverages,25%,3.0,20.75,0.0,0.2025,0.0,0.0,2655.75,54.25,0.0,234.75,0.0,0.052500000000000005,0.0,81.51749999999998,
Alcoholic Beverages,50%,6.0,44.5,0.01,1.44,0.0,0.0,2656.5,71.5,0.0,235.5,0.0,0.265,0.0,88.745,
Alcoholic Beverages,75%,8.0,78.25,0.02,2.8449999999999998,0.0,0.0,2657.25,121.5,0.0,236.25,0.0,0.5700000000000001,0.0,91.24,
Alcoholic Beverages,max,8.0,127.0,0.02,3.55,0.0,0.0,2658.0,231.0,0.0,237.0,0.0,0.9,0.0,91.96,
Animal fats,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0
Animal fats,mean,18.0,19.0,0.066,0.58,83.438,0.0,2756.6,752.6,27.919999999999998,93.8,14.470000000000002,0.738,36.79599999999999,14.776,
Animal fats,std,28.77498913987632,42.485291572496,0.0904433524367601,1.2636455199145051,27.70874988158073,0.0,22.831995094603535,244.16551763097098,12.889429777922684,66.91561850569715,15.90751237623281,1.2313488538996575,12.907303358951472,25.00131056564835,
Animal fats,min,0.0,0.0,0.0,0.0,36.08,0.0,2737.0,340.0,9.1,20.0,1.57,0.0,23.03,0.0,
Animal fats,25%,0.0,0.0,0.0,0.0,81.11,0.0,2740.0,717.0,21.02,21.0,3.04,0.0,29.89,0.0,
Animal fats,50%,0.0,0.0,0.0,0.0,100.0,0.0,2743.0,902.0,33.84,142.0,4.0,0.0,29.89,0.0,
Animal fats,75%,24.0,0.0,0.16,0.06,100.0,0.0,2781.0,902.0,33.84,143.0,31.87,0.85,49.8,16.17,
Animal fats,max,66.0,95.0,0.17,2.84,100.0,0.0,2782.0,902.0,41.8,143.0,31.87,2.84,51.37,57.71,
"Aquatic Products, Other",count,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
"Aquatic Products, Other",mean,102.8,156.8,0.0,8.57,0.33,0.7799999999999999,2770.6666666666665,39.6,0.04,174.0,0.09000000000000001,2.51,0.10000000000000002,83.85,
"Aquatic Products, Other",std,0.0,0.0,0.0,0.0,0.0,1.3597399555105182e-16,3.7859388972001824,0.0,0.0,0.0,1.6996749443881478e-17,0.0,1.6996749443881478e-17,0.0,
"Aquatic Products, Other",min,102.8,156.8,0.0,8.57,0.33,0.78,2768.0,39.6,0.04,174.0,0.09,2.51,0.1,83.85,
"Aquatic Products, Other",25%,102.8,156.8,0.0,8.57,0.33,0.78,2768.5,39.6,0.04,174.0,0.09,2.51,0.1,83.85,
"Aquatic Products, Other",50%,102.8,156.8,0.0,8.57,0.33,0.78,2769.0,39.6,0.04,174.0,0.09,2.51,0.1,83.85,
"Aquatic Products, Other",75%,102.8,156.8,0.0,8.57,0.33,0.78,2772.0,39.6,0.04,174.0,0.09,2.51,0.1,83.85,
"Aquatic Products, Other",max,102.8,156.8,0.0,8.57,0.33,0.78,2775.0,39.6,0.04,174.0,0.09,2.51,0.1,83.85,
Cereals - Excluding Beer,count,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
Cereals - Excluding Beer,mean,24.0,329.4766666666667,0.0,66.62444444444445,2.7088888888888887,8.55,2547.6666666666665,308.3811111111111,0.6522222222222223,40.111111111111114,1.1800000000000002,11.115555555555556,0.4788888888888889,17.854444444444443,3.055555555555556
Cereals - Excluding Beer,std,17.71298958391835,199.69213154253225,0.0,18.322562669500623,1.9294328470074078,8.08006806902021,96.53755745822453,91.68445730390245,0.7244614858254678,62.63873490988711,0.8148159301339168,4.275456440870118,0.3642267303632603,21.906516217276035,1.436333101260908
Cereals - Excluding Beer,min,2.0,100.0,0.0,18.86,1.16,0.0,2511.0,86.0,0.14,5.0,0.39,3.25,0.24,6.55,0.85
Cereals - Excluding Beer,25%,13.0,195.0,0.0,68.63,1.27,2.35,2514.0,325.0,0.21,7.0,0.56,9.91,0.25,10.09,2.43
Cereals - Excluding Beer,50%,17.0,280.0,0.0,72.13,2.09,6.7,2516.0,336.0,0.39,9.0,0.91,11.02,0.28,10.75,2.91
Cereals - Excluding Beer,75%,37.0,363.0,0.0,72.85,3.46,15.4,2518.0,361.0,0.77,13.0,1.56,13.05,0.61,12.4,3.8
Cereals - Excluding Beer,max,58.0,717.0,0.0,78.59,7.03,23.8,2805.0,378.0,2.38,151.0,2.77,17.3,1.33,76.01,5.46
Eggs,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Eggs,mean,75.0,145.0,1.85,1.99,14.8,0.0,2744.0,186.69,6.58,15.0,2.54,13.05,4.35,68.81,
Eggs,std,,,,,,,,,,,,,,,
Eggs,min,75.0,145.0,1.85,1.99,14.8,0.0,2744.0,186.69,6.58,15.0,2.54,13.05,4.35,68.81,
Eggs,25%,75.0,145.0,1.85,1.99,14.8,0.0,2744.0,186.69,6.58,15.0,2.54,13.05,4.35,68.81,
Eggs,50%,75.0,145.0,1.85,1.99,14.8,0.0,2744.0,186.69,6.58,15.0,2.54,13.05,4.35,68.81,
Eggs,75%,75.0,145.0,1.85,1.99,14.8,0.0,2744.0,186.69,6.58,15.0,2.54,13.05,4.35,68.81,
Eggs,max,75.0,145.0,1.85,1.99,14.8,0.0,2744.0,186.69,6.58,15.0,2.54,13.05,4.35,68.81,
"Fish, Seafood",count,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0
"Fish, Seafood",mean,34.76571428571429,303.5385714285714,4.75,1.6585714285714286,2.948571428571428,0.0,2764.0,103.60285714285715,0.9871428571428572,86.14285714285714,0.7314285714285713,16.975714285714282,0.6828571428571429,77.62571428571428,
"Fish, Seafood",std,7.638745222314237,57.53153495506368,2.5928748523598277,1.4596281326811587,1.6749669506334401,0.0,2.160246899469287,17.87083537898711,0.7519023492828991,80.00089285216046,0.3599272413247142,2.395265170726455,0.4093781579303861,2.2440206263375937,
"Fish, Seafood",min,29.49,235.11,2.86,0.75,1.0,0.0,2761.0,84.0,0.18,22.0,0.34,13.57,0.18,75.83,
"Fish, Seafood",25%,29.49,245.67,2.86,0.75,1.24,0.0,2762.5,84.75,0.185,22.0,0.35,15.33,0.28,75.83,
"Fish, Seafood",50%,29.49,349.58,2.86,0.75,4.29,0.0,2764.0,117.93,1.59,22.0,1.02,18.65,1.01,75.83,
"Fish, Seafood",75%,37.92,349.58,6.73,2.41,4.29,0.0,2765.5,117.93,1.59,171.5,1.02,18.65,1.01,79.88,
"Fish, Seafood",max,49.56,349.58,8.35,3.79,4.29,0.0,2767.0,117.93,1.59,172.0,1.02,18.65,1.01,80.3,
Fruits - Excluding Wine,count,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
Fruits - Excluding Wine,mean,17.127894736842105,230.21473684210525,0.002105263157894737,17.25526315789474,0.9684210526315788,2.659473684210526,5415.368421052632,72.95684210526316,0.4752631578947369,49.473684210526315,0.1731578947368421,0.9731578947368422,0.14526315789473684,80.24,15.571052631578949
Fruits - Excluding Wine,std,12.691902746303937,153.702159363434,0.009176629354822472,15.113910946329122,3.0083038099343455,2.0676918792707824,3032.1951199772807,58.93030846805701,1.912085447942617,15.593333408339145,0.39536273965364105,0.5326876574042966,0.46698047093419026,15.765843882689355,7.868591498085454
Fruits - Excluding Wine,min,3.0,94.5,0.0,7.55,0.11,0.4,2611.0,29.0,0.0,30.0,0.0,0.27,0.0,20.53,5.45
Fruits - Excluding Wine,25%,7.835,129.625,0.0,10.629999999999999,0.195,1.5,2615.5,49.75,0.01,36.0,0.045,0.635,0.02,81.64,8.595
Fruits - Excluding Wine,50%,13.0,168.0,0.0,13.34,0.27,1.93,2620.0,53.0,0.04,48.0,0.07,0.83,0.04,85.17,15.37
Fruits - Excluding Wine,75%,25.25,269.585,0.0,15.9,0.365,2.8,8525.5,65.875,0.06,60.0,0.08499999999999999,1.0950000000000002,0.05,86.055,21.11
Fruits - Excluding Wine,max,47.2,656.0,0.04,75.03,13.38,8.0,8533.0,282.0,8.37,80.0,1.77,2.45,2.07,91.45,32.18
Meat,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0
Meat,mean,41.068000000000005,258.214,2.9159999999999995,0.45199999999999996,13.598000000000003,0.0,2733.0,197.18400000000003,5.7620000000000005,130.8,1.544,17.686,4.894,67.678,
Meat,std,60.54589102490771,84.27996458233713,2.13936439158924,0.3285878877865099,4.306178119864527,0.0,1.5811388300841898,30.798683900452627,2.099754747583632,7.726577508832743,1.4498206785668357,2.604108292679089,1.0068415962801696,2.7060432369051317,
Meat,min,11.55,112.0,0.29,0.0,9.01,0.0,2731.0,158.31,3.73,119.0,0.48,13.3,3.43,64.97,
Meat,25%,13.83,269.15,1.36,0.21,10.59,0.0,2732.0,179.17,4.58,129.0,0.59,18.04,4.28,65.5,
Meat,50%,14.11,280.43,2.93,0.62,13.25,0.0,2733.0,196.18,4.92,132.0,0.81,18.39,5.35,67.87,
Meat,75%,16.52,310.92,4.61,0.68,15.08,0.0,2734.0,214.26,6.53,134.0,1.91,18.42,5.63,68.27,
Meat,max,149.33,318.57,5.39,0.75,20.06,0.0,2735.0,238.0,9.05,140.0,3.93,20.28,5.78,71.78,
